date,open,high,low,close,volume,macd,macds,macdh,boll,boll_ub,boll_lb,trix,volume_delta,middle,cr,rsv_9,kdjk,kdjd,kdjj,rsi_6,rsi_12,wr_10,wr_6,cci,tr,atr,dma,high_delta,low_delta,pdi,mdi,dx,adx,adxr,change,vr,direction_up,direction_down,direction
1981-02-27,26.5,26.75,26.5,26.5,65900,-1.256930047,-1.340643131,0.167426168,26.5,29.42355227,23.57644773,-0.850369132,17500,26.58333333,60.97105509,73.33333333,43.79974094,27.30816643,76.78288997,57.5586824,47.42893797,26.66666667,8.333333333,53.50686913,1.12,0.94672352,-4.1692,1,0.87,49.25230328,42.57780708,7.26830902,20.61251025,29.35525927,3.394459618,59.84338922,1,0,0.00490566
1981-03-02,26.63,26.75,26.63,26.63,52500,-1.10746672,-1.294007576,0.373081714,26.419,29.22584052,23.61215948,-0.802385309,-13400,26.67,58.30999066,76.8,54.79982729,36.47205338,91.45537512,58.79001405,48.15332714,23.2,4,67.31632751,0.25,0.895958061,-4.0714,0,0.13,45.10084447,38.98893914,7.26830902,16.79988126,25.76800835,0.490566038,52.73566911,0,1,-0.014269621
1981-03-03,26.37,26.37,26.25,26.25,72200,-1.007646757,-1.236735145,0.458176775,26.4,29.20597108,23.59402892,-0.747097323,19700,26.29,57.15271389,83.33333333,64.31099597,45.75170091,101.4295861,53.35974415,46.12655456,33.33333333,16.66666667,46.59138436,0.38,0.858417594,-4.0518,-0.38,-0.38,40.79437803,41.17065738,0.459073003,12.13107884,21.87174273,-1.426962073,51.96702391,0,1,-0.00952381
1981-03-04,26.13,26.13,26,26,61200,-0.937642881,-1.176916468,0.478547175,26.319,29.06966997,23.56833003,-0.691277797,-11000,26.04333333,58.33333333,75,67.87399732,53.12579971,97.37039252,49.73313039,44.77401574,25,50,28.23096089,0.25,0.814208691,-4.1318,-0.24,-0.25,37.27289857,41.71200618,5.620197461,10.270827,18.55719535,-0.952380952,53.69518553,0,1,-0.005
1981-03-05,26,26,25.87,25.87,24000,-0.882351253,-1.118003249,0.471303992,26.1815,28.71416055,23.64883945,-0.637826975,-37200,25.91333333,58.81656805,70.66666667,68.8048871,58.35216218,89.71033695,47.70974212,44.04144065,29.33333333,78.57142857,18.53333333,0.13,0.7645539,-4.0326,-0.13,-0.13,34.39962586,40.76430161,8.467726433,9.755655407,16.04246963,-0.5,56.8650092,0,1,-0.009277155
1981-03-06,25.87,25.87,25.63,25.63,51800,-0.847906253,-1.06398372,0.432154934,26.032,28.2974903,23.7665097,-0.590063808,27800,25.71,62.35884567,62.66666667,66.75881362,61.15437932,77.96768222,43.76507598,42.63648085,37.33333333,100,-1.305424263,0.24,0.726529169,-3.7896,-0.13,-0.24,31.37214787,41.58227279,13.99521075,10.96695694,14.59232314,-0.927715501,60.06861063,0,1,-0.078033554
1981-03-09,23.75,23.75,23.63,23.63,68400,-0.969208306,-1.045028601,0.151640591,25.776,27.90106248,23.65093752,-0.573353548,16600,23.67,58.36073274,0,44.50587575,55.60487813,22.30787098,23.95716671,33.05133538,100,100,-146.4329349,2,0.81874478,-3.7112,-2.12,-2,24.12606322,64.55513595,45.58922648,20.85903398,16.38281196,-7.803355443,66.541401,0,1,-0.047820567
1981-03-10,22.63,22.63,22.5,22.5,126700,-1.142486877,-1.064520286,-0.155933182,25.5385,28.00434479,23.07265521,-0.590142385,58300,22.54333333,60.4622871,0,29.67058383,46.96011337,-4.908475235,18.33185038,29.0289336,100,100,-177.0104015,1.13,0.841261486,-3.5762,-1.12,-1.13,20.3490255,72.36171114,56.10211667,30.92848621,20.5387189,-4.782056708,71.33028561,0,1,-0.039111111
1981-03-11,21.87,21.87,21.62,21.62,133300,-1.33479539,-1.118575373,-0.432440033,25.257,28.14881859,22.36518141,-0.636653032,6600,21.70333333,64.1124871,0,19.78038922,37.90020532,-16.45924297,15.03312453,26.30879983,100,100,-170.3377466,0.88,0.844061336,-3.6516,-0.76,-0.88,17.5768844,76.40719189,62.59603734,39.97635797,26.09233007,-3.911111111,69.61611521,1,0,0.040703053
1981-03-12,22.5,22.63,22.5,22.5,264500,-1.400570047,-1.174974363,-0.451191368,25.0635,28.1528997,21.9741003,-0.684931972,131200,22.54333333,62.92569659,17.1539961,18.90492485,31.56844516,-6.422115778,30.12213595,33.14309896,82.8460039,79.9086758,-107.0808056,1.01,0.856044506,-3.7122,0.76,0.88,26.8587863,65.29119599,41.70636687,40.47064623,30.20042041,4.070305273,85.43093166,0,1,-0.011111111
1981-03-13,22.37,22.37,22.25,22.25,1032600,-1.455915772,-1.231162689,-0.449506166,24.8695,28.15780447,21.58119553,-0.732787799,768100,22.29,53.30474268,13.26315789,17.02433586,26.72040873,-2.367809866,28.40261285,32.21709959,87.71929825,85.17647059,-97.57955628,0.25,0.8123137,-3.8996,-0.26,-0.25,24.53030358,63.73487616,44.41680478,41.5981201,33.45690604,-1.111111111,38.92674813,1,0,0.039550562
1981-03-16,23.13,23.37,23.13,23.13,166200,-1.412938255,-1.267517825,-0.290840859,24.751,28.11361114,21.38838886,-0.763239322,-866400,23.21,60.11136421,33.48115299,22.50994157,25.31691968,16.89598537,42.31261027,38.78472818,68.21052632,29.10798122,-55.50597083,1.12,0.834499473,-4.0222,1,0.88,36.67338374,53.76750851,18.90088028,35.11319444,33.93013129,3.95505618,46.16513334,1,0,0.048421963
1981-03-17,24.25,24.5,24.25,24.25,195300,-1.274364646,-1.26888719,-0.010954913,24.657,27.96191245,21.35208755,-0.763161812,29100,24.33333333,68.64085042,60.0456621,35.02184842,28.55189592,47.9617534,55.51283214,46.04339648,41.68514412,8.680555556,-7.398661944,1.37,0.873085722,-4.0322,1.13,1.12,47.63686469,44.53844875,3.361437921,26.041264,31.67616921,4.842196282,52.37917783,1,0,0.06185567
1981-03-18,25.75,26,25.75,25.75,164900,-1.032301988,-1.221570131,0.378536285,24.582,27.70205803,21.46194197,-0.720616463,-30400,25.83333333,92.0607624,94.29223744,54.77864476,37.29414553,89.7476432,67.47423958,54.01076885,5.707762557,5.707762557,53.71428571,1.75,0.936233376,-3.9272,1.5,1.5,59.86406372,35.99603459,24.89881563,25.71485018,29.9729352,6.18556701,62.22881826,0,1,-0.009708738
1981-03-19,25.63,25.63,25.5,25.5,168800,-0.850727613,-1.147401603,0.59334798,24.5755,27.68689485,21.46410515,-0.655180051,3900,25.54333333,89.73063973,88.58447489,66.0472548,46.87851529,104.3847338,64.03099576,52.59861464,11.41552511,13.33333333,47.01366498,0.25,0.886845659,-3.8566,-0.37,-0.25,54.7708879,36.69242473,19.76580844,24.01512397,28.27070342,-0.970873786,56.75061369,1,0,0.009803922
1981-03-20,25.75,26,25.75,25.75,65200,-0.678931325,-1.053707524,0.749552396,24.6505,27.80092838,21.50007162,-0.573600866,-103600,25.83333333,101.4602981,94.29223744,75.46224901,56.40642653,113.573894,66.10651719,53.91313552,5.707762557,6.666666667,64.53742148,0.5,0.859019703,-3.7546,0.37,0.25,54.74859587,32.82989199,25.02749752,24.30437355,27.13746631,0.980392157,61.44059869,1,0,0.038834951
1981-03-23,26.75,27,26.75,26.75,98300,-0.457192819,-0.934404558,0.954423478,24.757,28.04413025,21.46986975,-0.470667925,33100,26.83333333,115.0843223,95.35315985,82.09255263,64.96846856,116.3407208,73.45798334,58.88812629,4.646840149,6.45994832,104.7885863,1.25,0.887128959,-3.34,1,1,60.97550538,27.55081655,37.75678025,28.14791833,27.42616689,3.883495146,68.10902074,0,1,-0.004485981
1981-03-24,26.75,26.75,26.63,26.63,125700,-0.287794257,-0.805082477,1.034576439,24.901,28.25405611,21.54794389,-0.360867832,27400,26.67,120.346179,92.21052632,85.46521052,71.80071588,112.7941998,71.23312555,58.067551,6.87732342,13.45454545,92.99863904,0.12,0.832002431,-2.8272,-0.25,-0.12,56.34646574,27.38241542,34.59266374,29.98927416,28.15848325,-0.448598131,65.70338313,0,1,-0.018775817
1981-03-25,26.37,26.37,26.13,26.13,31500,-0.191528871,-0.682371739,0.981685736,24.945,28.34016994,21.54983006,-0.259564316,-94200,26.21,108.0955335,81.68421053,84.20487719,75.93543632,100.7437589,61.86452088,54.60871497,18.31578947,58,71.66020094,0.5,0.808154768,-2.2888,-0.38,-0.5,50.27432466,32.68113091,21.20800088,27.48033894,27.96472773,-1.877581675,62.24087323,0,1,-0.019135094
1981-03-26,25.75,25.75,25.63,25.63,54800,-0.153667687,-0.576630918,0.845926462,24.945,28.34016994,21.54983006,-0.176140791,23300,25.67,90.81812831,64.5994832,77.66974586,76.5135395,79.98215859,53.43169539,51.27671334,28.84210526,91.33333333,49.30742402,0.5,0.786028954,-1.8758,-0.62,-0.5,44.7973263,37.60251089,8.731589356,22.12355334,26.29582076,-1.913509376,56.87186829,0,1,-0.034334764
